FOLD,q_not_pruned,q_standard,q_easy,q_hard,acc_not_pruned,acc_standard,acc_easy,acc_hard,auc_not_pruned,auc_standard,auc_easy,auc_hard,g_mean_not_pruned,g_mean_standard,g_mean_easy,g_mean_hard,f1_not_pruned,f1_standard,f1_easy,f1_hard,size_not_pruned,size_standard,size_easy,size_hard
1,0.0942306075913947,0,0.0942306075913947,0,0.92,0.92,0.92,0.14,0.222222222222222,0.311111111111111,0.222222222222222,0.477777777777778,0.757187779440036,0.625388767976457,0.757187779440036,0.210818510677892,0.6,0.5,0.6,0.188679245283019,100,1,100,1
2,0.123949342327028,0,0.123949342327028,0,0.836734693877551,0.877551020408163,0.836734693877551,0.102040816326531,0.202777777777778,0.180555555555556,0.202777777777778,0.488888888888889,0.795822425754221,0.816496580927726,0.795822425754221,0.149071198499986,0.428571428571428,0.5,0.428571428571428,0.153846153846154,100,1,100,1
3,-0.00329702988202212,0,-0.00329702988202212,0,0.76,0.88,0.76,0.9,0.4,0.511111111111111,0.4,0.233333333333333,0.565685424949238,0,0.565685424949238,0.748331477354788,0.25,0,0.25,0.545454545454545,100,1,100,1
4,0.994786768132009,0,0.994786768132009,0.994786768132009,0.1,0.12,0.1,0.1,0.5,0.577777777777778,0.5,0.5,0,0.188561808316413,0,0,0.181818181818182,0.153846153846154,0.181818181818182,0.181818181818182,100,1,100,100
5,0.298742183495426,0.812620760271119,0.298742183495426,-0.781928757602085,0.88,0.88,0.88,0.12,0.422222222222222,0.333333333333333,0.422222222222222,0.577777777777778,0.4371625682868,0.611010092660779,0.4371625682868,0.188561808316413,0.25,0.4,0.25,0.153846153846154,100,5,100,2
6,0.29614655819808,0,0.29614655819808,0,0.9,0.86,0.9,0.1,0.5,0.433333333333333,0.5,0.5,0,0.432049379893857,0,0,0,0.222222222222222,0,0.181818181818182,100,1,100,1
7,-0.00133900813228207,0,-0.00133900813228207,0,0.86,0.86,0.86,0.1,0.255555555555556,0.522222222222222,0.255555555555556,0.5,0.730296743340221,0,0.730296743340221,0,0.461538461538462,0,0.461538461538462,0.181818181818182,100,1,100,1
8,0.143249145906805,0,0.143249145906805,0,0.857142857142857,0.836734693877551,0.857142857142857,0.0816326530612245,0.434090909090909,0.534090909090909,0.434090909090909,0.6,0.431698548021228,0,0.431698548021228,0,0.222222222222222,0,0.222222222222222,0.150943396226415,100,1,100,1
9,0.334448474345647,0,0.334448474345647,0,0.9,0.9,0.9,0.92,0.411111111111111,0.411111111111111,0.411111111111111,0.222222222222222,0.442216638714053,0.442216638714053,0.442216638714053,0.757187779440036,0.285714285714286,0.285714285714286,0.285714285714286,0.6,100,1,100,1
10,0.390956882948642,0,0.390956882948642,0,0.88,0.9,0.88,0.14,0.511111111111111,0.411111111111111,0.511111111111111,0.566666666666667,0,0.442216638714053,0,0.23094010767585,0,0.285714285714286,0,0.156862745098039,100,1,100,1
